Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,0.0,0.0,0.0,1543.0,48.0,43.0,1543.0,0.1,149.46456209022878,0.0,0.0,164.31522297859192,,,,,,,,,,,,,,,,,,,,,67.10660645472959,35.44739228312396,123.05756689592391,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0,0.0,0.0,1571.0,49.0,28.0,1571.0,0.1,83.00749928267233,0.0,0.0,167.44822454452515,,,,,,,,,,,,,,,,,,,,,38.204398012204024,22.541923157630062,73.77845917687497,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0,0.0,0.0,1584.0,50.0,13.0,1584.0,0.1,42.35948223676624,0.0,0.0,169.30198526382446,,,,,,,,,,,,,,,,,,,,,23.857890611938117,11.830218173179748,40.05505199185214,3.84270714784132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.0,0.0,0.0,23.0,1.0,23.0,1607.0,0.1,60.513999999999974,0.0,0.0,294.59403586387634,,,,,,,,,,,,,,,,,,,,,28.23002575296438,16.41591932439109,55.117941104803776,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.0,0.0,0.0,44.0,2.0,21.0,1628.0,0.1,59.50799999999998,0.0,0.0,297.0366253852844,,,,,,,,,,,,,,,,,,,,,28.290386616483385,16.8410747442776,54.65464627133811,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1.0,0.0,0.0,81.0,3.0,37.0,1665.0,0.1,110.26100000000005,0.0,0.0,300.9247841835022,,,,,,,,,,,,,,,,,,,,,48.637516762436015,28.604559002688845,94.13847443923954,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1.0,0.0,0.0,108.0,4.0,27.0,1692.0,0.1,77.75900000000001,0.0,0.0,304.1670365333557,,,,,,,,,,,,,,,,,,,,,35.78874798699471,21.291335240412998,69.47866344608859,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.0,0.0,0.0,121.0,5.0,13.0,1705.0,0.1,43.22782956872833,0.0,0.0,305.84662079811096,,,,,,,,,,,,,,,,,,,,,24.056961586518774,12.234216921880776,40.91462561216293,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.0,0.0,0.0,164.0,6.0,43.0,1748.0,0.1,130.5368858660276,0.0,0.0,310.40035915374756,,,,,,,,,,,,,,,,,,,,,55.1949883953751,33.38929079940276,108.9715752025469,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1.0,0.0,0.0,209.0,7.0,45.0,1793.0,0.1,143.60974158601172,0.0,0.0,315.10664892196655,,,,,,,,,,,,,,,,,,,,,61.424320897727696,36.32688960255037,118.3234335088605,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
